Num. clusters,Dissimilarity,Cluster,Instance
1,1,2749855113410247,0,68
1,1,2749855113410247,0,69
1,1,2749855113410247,0,70
1,1,2749855113410247,0,71
1,1,2749855113410247,0,72
1,1,2749855113410247,0,73
1,1,2749855113410247,0,74
1,1,2749855113410247,0,75
1,1,2749855113410247,0,76
1,1,2749855113410247,0,77
1,1,2749855113410247,0,78
1,1,2749855113410247,0,79
1,1,2749855113410247,0,80
2,0,5866245824299866,0,0
2,0,5866245824299866,0,1
2,0,5866245824299866,0,2
2,0,5866245824299866,0,3
2,0,5866245824299866,0,4
2,0,5866245824299866,0,5
2,0,5866245824299866,0,6
2,0,5866245824299866,0,7
2,0,5866245824299866,0,8
2,0,5866245824299866,0,15
2,0,5866245824299866,0,16
2,0,5866245824299866,0,17
2,0,5866245824299866,0,18
2,0,5866245824299866,0,19
2,0,5866245824299866,0,26
2,0,5866245824299866,0,27
2,0,5866245824299866,0,28
2,0,5866245824299866,0,31
2,0,5866245824299866,0,32
2,0,5866245824299866,0,33
2,0,5866245824299866,0,37
2,0,5866245824299866,0,39
2,0,5866245824299866,0,41
2,0,5866245824299866,0,44
2,0,5866245824299866,0,45
2,0,5866245824299866,0,46
2,0,5866245824299866,0,53
2,0,5866245824299866,0,54
2,0,5866245824299866,0,55
2,0,5866245824299866,0,56
2,0,5866245824299866,0,57
2,0,5866245824299866,0,59
2,0,5866245824299866,0,60
2,0,5866245824299866,0,61
2,0,5866245824299866,0,63
2,0,5866245824299866,0,64
2,0,5866245824299866,0,65
2,0,5866245824299866,1,9
2,0,5866245824299866,1,10
2,0,5866245824299866,1,11
2,0,5866245824299866,1,12
2,0,5866245824299866,1,13
2,0,5866245824299866,1,14
2,0,5866245824299866,1,20
2,0,5866245824299866,1,21
2,0,5866245824299866,1,22
2,0,5866245824299866,1,23
2,0,5866245824299866,1,24
2,0,5866245824299866,1,25
2,0,5866245824299866,1,29
2,0,5866245824299866,1,30
2,0,5866245824299866,1,34
2,0,5866245824299866,1,35
2,0,5866245824299866,1,36
2,0,5866245824299866,1,38
2,0,5866245824299866,1,40
2,0,5866245824299866,1,42
2,0,5866245824299866,1,43
2,0,5866245824299866,1,47
2,0,5866245824299866,1,48
2,0,5866245824299866,1,49
2,0,5866245824299866,1,50
2,0,5866245824299866,1,51
